ticker,success,is_banking,model_used,lifecycle_stage,lifecycle_sub,value_per_share_tl,market_price_tl,upside_pct,damodaran_verdict,equity_value_tl,shares_outstanding,wacc,normalized_margin,periods_fetched,items_mapped,errors
HEDEF,False,False,decline_dcf,decline,"cyclical,capital_intensive",,145.00,,UNKNOWN,,,,,8,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
HOROZ,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",-24.98,81.35,-130.71,SAT,-2.26B,90488084,10.62%,-0.53%,4,12,
INTEM,False,False,decline_dcf,decline,"cyclical,capital_intensive",,290.75,,UNKNOWN,,,,,16,12,Model decline_dcf orchestration TBD (Faz 2.3.x)
MEGMT,True,False,industrial_fcff,mature_growth,"stable,capital_intensive",21.85,85.20,-74.35,SAT,5.79B,265000000,10.22%,4.85%,8,12,
MERCN,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",11.61,24.08,-51.80,SAT,2.21B,190370946,12.05%,13.22%,8,12,
OBASE,True,False,cyclical_dcf,mature_growth,"cyclical,capital_intensive",5.45,39.86,-86.33,SAT,0.25B,45500000,12.94%,5.40%,8,12,
OZKGY,False,False,cyclical_dcf,mature_stable,cyclical,,12.89,,UNKNOWN,,,,111.90%,16,12,Current revenue is None | DCF execution returned None
PSDTC,True,False,cyclical_dcf,mature_stable,"cyclical,capital_intensive",75.22,139.00,-45.89,SAT,0.56B,7425000,10.41%,32.72%,16,12,
SELEC,True,False,industrial_fcff,mature_stable,"stable,capital_intensive",55.54,104.30,-46.75,SAT,34.49B,621000000,12.27%,3.78%,16,12,
ULAS,False,False,distress_dcf,distress,"cyclical,asset_light",,29.10,,UNKNOWN,,,,,16,12,Model distress_dcf orchestration TBD (Faz 2.3.x)
GARAN,True,True,banking_ddm,,,197.28,136.60,44.42,AL,828.59B,4200000000,11.09%,,0,0,
AKBNK,True,True,banking_ddm,,,98.96,74.35,33.10,AL,514.58B,5200000000,11.09%,,0,0,
YKBNK,True,True,banking_ddm,,,38.96,37.76,3.18,BEKLE,329.11B,8447051284,11.09%,,0,0,
ISCTR,True,True,banking_ddm,,,17.19,14.49,18.67,IZLE-AL,154.75B,9000000000,11.09%,,0,0,
HALKB,True,True,banking_ddm,,,142.24,38.12,273.15,AL,177.80B,1250000000,11.09%,,0,0,
VAKBN,False,True,banking_ddm,,,,31.46,,UNKNOWN,,,,,0,0,Banking data not available for VAKBN (banking_data.py'ye eklenmeli)
TSKB,False,True,banking_ddm,,,,11.95,,UNKNOWN,,,,,0,0,Banking data not available for TSKB (banking_data.py'ye eklenmeli)
SKBNK,False,True,banking_ddm,,,,12.90,,UNKNOWN,,,,,0,0,Banking data not available for SKBNK (banking_data.py'ye eklenmeli)
ALBRK,False,True,banking_ddm,,,,8.77,,UNKNOWN,,,,,0,0,Banking data not available for ALBRK (banking_data.py'ye eklenmeli)
ICBCT,False,True,banking_ddm,,,,17.05,,UNKNOWN,,,,,0,0,Banking data not available for ICBCT (banking_data.py'ye eklenmeli)
KCHOL,True,False,holding_sotp,,,177.78,210.50,-15.54,IZLE-SAT,450.83B,2535898345,,,0,0,
SAHOL,True,False,holding_sotp,,,195.45,100.70,94.09,AL,398.80B,2040403931,,,0,0,
